"Request Id","Report Type","Request Status","Enterprise","Category","Sub Category","Severity","Average Response","Average Handling"
"5295","Request","Closed","CNC LFTZ Enterprise","IT","New hardware,software or systems","Low","0 Days 0 Hours","0 Days 0 Hours"
"5296","Complaint","Reopened","CNC LFTZ Enterprise","IT","Internet setup","High","","0 Days 0 Hours"
"5297","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Low","","6 Days 1 Hours"
"5298","Complaint","Closed","CNC LFTZ Enterprise","IT","Internet setup","Low","0 Days 0 Hours","0 Days 0 Hours"
"5299","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Medium","","1 Days 0 Hours"
"5300","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Medium","","1 Days 23 Hours"
"5301","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","High","","1 Days 22 Hours"
"5302","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Medium","","5 Days 20 Hours"
"5303","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Low","","5 Days 20 Hours"
"5304","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Medium","","2 Days 3 Hours"
"5305","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Creation of New Enterprise Credentials","Medium","","2 Days 1 Hours"
"5306","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Medium","","0 Days 5 Hours"
"5307","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Urgent","","0 Days 5 Hours"
"5308","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Medium","","0 Days 5 Hours"
"5309","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Medium","","0 Days 4 Hours"
"5310","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Medium","","0 Days 4 Hours"
"5311","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Low","","0 Days 3 Hours"
"5312","Request","Awaiting info from Enterprise","CNC LFTZ Enterprise","IT","Internet Setup","High","","0 Days 1 Hours"
"5313","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Low","","0 Days 0 Hours"
"5314","Request","Work In Progress","CNC LFTZ Enterprise","Legal","Change in shareholding","Low","","0 Days 4 Hours"
"5315","Request","Closed","CNC LFTZ Enterprise","IT","Internet Setup","Medium","0 Days 2 Hours","0 Days 2 Hours"
"5316","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Medium","","0 Days 0 Hours"
"5317","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","High","","1 Days 22 Hours"
"5318","Complaint","Work In Progress","CNC LFTZ Enterprise","Immigration","Application of STR","Medium","","1 Days 20 Hours"
"5319","Request","Closed","CNC LFTZ Enterprise","IT","Internet Setup","High","0 Days 0 Hours","0 Days 0 Hours"
"5320","Request","Work In Progress","Raffle Oil","IT","Internet Setup","Urgent","","0 Days 0 Hours"
"5321","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Low","","0 Days 0 Hours"
"5322","Enquiry","Work In Progress","CNC LFTZ Enterprise","Utilities","Distribution network","Medium","","1 Days 19 Hours"
"5323","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Medium","","1 Days 17 Hours"
"5324","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Medium","","0 Days 0 Hours"
"5325","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Medium","","0 Days 0 Hours"
"5326","Request","Work In Progress","CNC LFTZ Enterprise","IT","Creation of New Enterprise Credentials","Medium","","0 Days 0 Hours"
"5327","Request","Work In Progress","Lagos Free Zone","IT","New hardware,software or systems","Medium","","0 Days 0 Hours"
"5328","Complaint","Allocated","CNC LFTZ Enterprise","Legal","Change in shareholding","Low","","0 Days 0 Hours"
"5329","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Creation of New Enterprise Credentials","Medium","","0 Days 0 Hours"
"5329","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Creation of New Enterprise Credentials","Medium","","0 Days 3 Hours"
"5330","Enquiry","Pending Zone Response","CNC LFTZ Enterprise","IT","Creation of New Enterprise Credentials","Urgent","","0 Days 0 Hours"
"5331","Request","Work In Progress","CNC LFTZ Enterprise","Trade Operations","Renewal of operating licenese","Low","","0 Days 0 Hours"
"5332","Request","Allocated","CNC LFTZ Enterprise","IT","Internet Setup","Low","","0 Days 0 Hours"
"5333","Request","Work In Progress","CNC LFTZ Enterprise","Trade Operations","Request for plate number","Low","","0 Days 0 Hours"
"5334","Enquiry","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Medium","","0 Days 0 Hours"
"5335","Request","Work In Progress","CNC LFTZ Enterprise","Immigration","Change of employment","Low","","0 Days 0 Hours"
"5336","Request","Work In Progress","CNC LFTZ Enterprise","IT","Internet Setup","Medium","","0 Days 0 Hours"
"5337","Request","Work In Progress","CNC LFTZ Enterprise","IT","Medical Portal","Medium","","0 Days 0 Hours"
"5338","Request","Work In Progress","CNC LFTZ Enterprise","IT","Creation of New Enterprise Credentials","Low","","0 Days 0 Hours"
"5339","Request","Work In Progress","CNC LFTZ Enterprise","Legal","Change in MEMART","Low","","0 Days 0 Hours"
"5340","Request","Closed","CNC LFTZ Enterprise","IT","Medical Portal","High","0 Days 0 Hours","0 Days 0 Hours"
"5341","Request","Work In Progress","CNC LFTZ Enterprise","IT","Creation of New Enterprise Credentials","Urgent","","0 Days 0 Hours"
"5342","Request","Work In Progress","CNC LFTZ Enterprise","Legal","Change in Secretary","Medium","","0 Days 0 Hours"
"5343","Request","Closed","CNC LFTZ Enterprise","IT","Medical Portal","Medium","0 Days 0 Hours","0 Days 0 Hours"
"5344","Complaint","Work In Progress","CNC LFTZ Enterprise","IT","Internet setup","Low","","0 Days 0 Hours"
"5345","Complaint","Work In Progress","CNC LFTZ Enterprise","Trade Operations","Issuance of service operating  license","Low","","0 Days 0 Hours"
"5346","Request","Initial","CNC LFTZ Enterprise","IT","Creation of New Enterprise Credentials","High","","Days  Hours"
"5347","Request","Work In Progress","CNC LFTZ Enterprise","Immigration","Cerpac stay regularization","Medium","","0 Days 0 Hours"
